"rpt_rec_num","prvdr_ctrl_type_cd","prvdr_num","rpt_stus_cd","initl_rpt_sw","last_rpt_sw","trnsmtl_num","fi_num","adr_vndr_cd","util_cd","spec_ind","npi","fy_bgn_dt","fy_end_dt","proc_dt","fi_creat_dt","npr_dt","fi_rcpt_dt"
100223,"5","042568",1,"I","I","0","00020","A","F",,,1/1/2007,1/31/2008,7/25/2008,7/24/2008,,7/2/2008
100574,"5","042540",1,"I","I","0","00020","A","F",,,1/1/2007,1/31/2008,8/1/2008,8/1/2008,,7/2/2008
101648,"11","192654",1,"N","N","9","00101","B","F",,,1/1/2008,5/30/2008,10/27/2008,10/22/2008,,10/16/2008
101649,"11","422559",1,"N","N","9","00101","B","F",,,1/1/2008,3/28/2008,10/27/2008,10/22/2008,,10/16/2008
101788,"4","452627",2,"N","N","9","04301","B","F",,,1/1/2008,2/27/2008,11/4/2008,11/4/2008,10/3/2008,7/2/2008
102272,"5","042549",2,"F","F","0","00020","A","F",,,1/1/2007,1/31/2008,12/12/2008,12/12/2008,12/12/2008,7/2/2008
102606,"1","442530",1,"N","N","0","00390","A","F",,,7/1/2007,6/30/2008,1/20/2009,12/22/2008,,11/25/2008
102786,"3","112663",1,"N","N","9","00101","B","F",,,1/1/2008,3/17/2008,1/20/2009,1/6/2009,,12/15/2008
102975,"2","262502",2,"N","N","9","05301","B","F",,,7/1/2007,6/30/2008,2/10/2009,2/10/2009,1/29/2009,11/25/2008
102976,"2","262565",2,"N","N","9","05301","B","F",,,7/1/2007,6/30/2008,2/10/2009,2/10/2009,1/27/2009,11/25/2008
102981,"4","452700",2,"N","N","9","04401","B","F",,,1/1/2008,5/30/2008,2/11/2009,1/16/2009,1/16/2009,10/24/2008
103226,"5","372564",2,"I","I","9","04301","B","F",,,7/1/2007,6/30/2008,3/2/2009,2/20/2009,2/20/2009,11/26/2008
103464,"4","152587",2,"F","F","9","00130","B","F",,,1/1/2008,4/1/2008,3/25/2009,3/23/2009,3/25/2009,7/23/2008
103690,"11","232531",2,"N","N","9","00452","B","F",,,7/1/2007,6/30/2008,4/14/2009,3/24/2009,3/27/2009,10/22/2008
103691,"11","232556",2,"N","N","9","00452","B","F",,,7/1/2007,6/30/2008,4/14/2009,3/20/2009,3/26/2009,10/22/2008
103881,"11","232534",2,"N","N","9","00452","B","F",,,7/1/2007,6/30/2008,4/15/2009,4/7/2009,4/10/2009,10/22/2008
103882,"11","232553",2,"N","N","9","00452","B","F",,,7/1/2007,6/30/2008,4/15/2009,3/27/2009,4/10/2009,10/22/2008
103883,"5","232597",2,"N","N","9","00452","B","F",,,4/1/2007,3/31/2008,4/15/2009,3/27/2009,4/10/2009,9/4/2008
104169,"4","112518",2,"N","N","9","00101","B","F",,,3/1/2007,2/29/2008,4/24/2009,4/22/2009,4/24/2009,9/2/2008
104225,"11","422558",2,"F","F","9","00101","B","F",,,1/1/2008,4/30/2008,4/24/2009,4/22/2009,4/24/2009,9/29/2008
104295,"1","152559",2,"N","N","9","00101","B","F",,,10/1/2007,6/13/2008,4/27/2009,4/20/2009,4/24/2009,11/17/2008
104495,"1","112680",2,"N","N","9","00101","B","F",,,5/1/2007,4/30/2008,4/28/2009,4/27/2009,4/17/2009,10/2/2008
104670,"4","172502",2,"N","N","9","05201","B","F",,,1/1/2007,2/29/2008,5/4/2009,5/4/2009,5/1/2009,6/9/2008
104671,"4","172516",2,"N","N","9","05201","B","F",,,1/1/2007,2/29/2008,5/4/2009,5/4/2009,5/1/2009,6/9/2008
104684,"2","232528",2,"N","N","9","00452","B","F",,,7/1/2007,6/30/2008,5/7/2009,5/4/2009,5/5/2009,11/24/2008
104685,"11","232541",2,"N","N","9","00452","B","F",,,7/1/2007,6/30/2008,5/7/2009,4/30/2009,5/4/2009,10/22/2008
104949,"6","422595",2,"F","F","0","12001","A","F",,,1/1/2007,1/15/2008,5/19/2009,5/18/2009,5/28/2009,6/4/2008
104978,"4","392746",2,"I","I","0","12001","A","F",,,3/24/2008,6/30/2008,5/21/2009,5/20/2009,6/2/2009,2/2/2009
105435,"8","052818",2,"N","N","9","01001","B","F",,,7/1/2007,6/30/2008,5/29/2009,5/22/2009,5/26/2009,12/9/2008
105455,"4","552575",2,"N","N","9","01001","B","F",,,10/1/2007,9/30/2008,5/29/2009,5/27/2009,5/26/2009,2/23/2009
105478,"4","672575",2,"N","N","9","04401","B","F",,,1/1/2008,5/31/2008,6/1/2009,5/22/2009,5/22/2009,3/18/2009
105552,"6","172522",2,"N","N","9","05201","B","F",,,1/1/2008,5/31/2008,6/3/2009,6/3/2009,6/3/2009,1/13/2009
105554,"1","282527",2,"I","I","9","05401","B","F",,,6/16/2008,8/31/2008,6/3/2009,6/3/2009,6/2/2009,1/30/2009
105626,"11","062535",2,"N","N","9","01001","B","F",,,1/1/2008,5/31/2008,6/3/2009,6/3/2009,5/26/2009,4/13/2009
105718,"6","452618",2,"F","F","9","04401","B","F",,,2/1/2007,1/31/2008,6/8/2009,5/22/2009,5/22/2009,7/1/2008
105745,"6","452655",2,"N","N","9","04401","B","F",,,2/1/2007,1/31/2008,6/8/2009,5/22/2009,5/22/2009,6/30/2008
