"rpt_rec_num","prvdr_ctrl_type_cd","prvdr_num","rpt_stus_cd","initl_rpt_sw","last_rpt_sw","trnsmtl_num","fi_num","adr_vndr_cd","util_cd","spec_ind","npi","fy_bgn_dt","fy_end_dt","proc_dt","fi_creat_dt","npr_dt","fi_rcpt_dt"
111286,"1","452839",2,"F","F","9","04401","B","F",,,10/1/2008,2/28/2009,9/30/2009,9/21/2009,9/21/2009,8/4/2009
111287,"1","372535",2,"N","N","9","04301","B","F",,,1/1/2009,3/17/2009,9/30/2009,9/11/2009,9/11/2009,6/24/2009
111288,"1","372543",2,"N","N","9","04301","B","F",,,1/1/2009,3/19/2009,9/30/2009,9/11/2009,9/11/2009,6/24/2009
111521,"2","162536",2,"N","N","9","05101","B","F",,,5/1/2008,4/30/2009,10/23/2009,10/23/2009,10/22/2009,9/30/2009
111896,"4","192677",2,"N","N","9","04001","B","F",,,1/1/2009,2/28/2009,12/17/2009,12/16/2009,12/16/2009,10/20/2009
112037,"4","522549",2,"F","F","9","04101","B","F",,,1/1/2008,1/31/2009,1/13/2010,12/11/2009,12/11/2009,10/27/2009
112097,"2","162519",2,"F","F","9","05101","B","F",,,7/1/2008,6/30/2009,1/25/2010,1/22/2010,1/21/2010,11/12/2009
112127,"2","162522",2,"F","F","9","05101","B","F",,,7/1/2008,6/30/2009,1/29/2010,1/28/2010,1/25/2010,11/25/2009
112128,"1","162540",2,"N","N","9","05101","B","F",,,7/1/2008,6/30/2009,1/29/2010,1/29/2010,1/28/2010,12/3/2009
112216,"4","162508",2,"N","N","9","05101","B","F",,,1/1/2009,7/6/2009,2/11/2010,2/10/2010,2/8/2010,1/20/2010
112327,"4","372564",2,"F","F","9","04301","B","F",,,7/1/2008,6/30/2009,2/23/2010,1/20/2010,1/29/2010,11/24/2009
112333,"4","192676",2,"N","N","9","04401","B","F",,,1/1/2009,2/28/2009,2/24/2010,1/15/2010,1/15/2010,10/20/2009
112348,"4","312527",2,"N","N","9","52280","B","F",,,9/1/2008,6/30/2009,2/25/2010,2/25/2010,2/23/2010,12/23/2009
112349,"4","312552",2,"I","I","9","52280","B","F",,,9/1/2008,6/30/2009,2/25/2010,2/25/2010,2/24/2010,12/23/2009
112430,"4","522510",2,"N","N","9","04401","B","F",,,1/1/2009,4/30/2009,3/3/2010,3/2/2010,3/2/2010,12/23/2009
112470,"4","052576",2,"N","N","9","04001","B","F",,,1/1/2009,4/30/2009,3/11/2010,3/12/2010,3/12/2010,12/28/2009
112484,"1","492544",2,"F","F","9","00453","B","F",,,1/1/2008,1/6/2009,3/12/2010,3/4/2010,3/8/2010,7/16/2009
112494,"2","522559",2,"N","N","9","00450","B","F",,,7/1/2008,6/30/2009,3/12/2010,2/26/2010,3/4/2010,12/1/2009
112549,"4","322533",2,"I","I","9","04301","B","F",,,12/30/2008,3/31/2009,3/24/2010,3/5/2010,3/5/2010,1/7/2010
112550,"4","192594",2,"N","N","9","04301","B","F",,,1/1/2009,6/12/2009,3/24/2010,3/5/2010,3/5/2010,12/17/2009
112570,"4","292520",2,"N","N","9","04401","B","F",,,1/1/2009,1/31/2009,3/24/2010,3/19/2010,3/19/2010,1/20/2010
112600,"1","162512",2,"N","N","9","05101","B","F",,,7/1/2008,6/30/2009,3/26/2010,3/26/2010,3/25/2010,12/3/2009
112601,"1","162517",2,"N","N","9","05101","B","F",,,7/1/2008,6/30/2009,3/26/2010,3/26/2010,3/24/2010,12/3/2009
112721,"1","162509",2,"N","N","9","05101","B","F",,,7/1/2008,6/30/2009,3/30/2010,3/29/2010,3/29/2010,12/3/2009
113232,"4","382541",2,"N","N","9","04001","B","F",,,1/1/2009,7/17/2009,4/12/2010,4/6/2010,4/6/2010,12/11/2009
113389,"11","232573",2,"N","N","9","00452","B","F",,,7/1/2008,6/30/2009,4/20/2010,4/12/2010,4/15/2010,11/13/2009
113476,"6","452655",3,"F","F","9","04301","B","F",,,2/1/2008,1/31/2009,4/23/2010,4/20/2010,4/23/2010,6/30/2009
113477,"2","322525",2,"F","F","9","04201","B","F",,,10/1/2008,9/30/2009,4/23/2010,4/16/2010,4/23/2010,3/1/2010
113656,"4","272503",2,"N","N","9","03001","B","F",,,7/1/2008,6/30/2009,4/26/2010,4/14/2010,4/19/2010,12/8/2009
113658,"5","232597",2,"N","N","9","00452","B","F",,,4/1/2008,3/31/2009,4/26/2010,3/30/2010,3/31/2010,9/1/2009
113692,"1","282527",2,"N","N","9","05401","B","F",,,9/1/2008,8/31/2009,4/27/2010,4/26/2010,4/26/2010,2/1/2010
113753,"4","292505",2,"N","N","9","04101","B","F",,,1/1/2009,1/31/2009,4/30/2010,4/30/2010,4/30/2010,3/24/2010
113754,"4","492584",2,"N","N","9","04101","B","F",,,1/1/2009,6/23/2009,4/30/2010,4/30/2010,4/30/2010,1/20/2010
113775,"6","062532",2,"F","F","9","04101","B","F",,,10/1/2008,9/30/2009,4/30/2010,4/20/2010,4/30/2010,3/3/2010
113776,"6","452563",2,"F","F","9","04301","B","F",,,10/1/2008,9/30/2009,4/30/2010,4/14/2010,4/30/2010,3/3/2010
113817,"4","052800",2,"N","N","9","01001","B","F",,,10/1/2008,9/30/2009,5/3/2010,4/29/2010,4/28/2010,2/23/2010
113820,"4","052809",2,"N","N","9","01001","B","F",,,10/1/2008,9/30/2009,5/3/2010,4/28/2010,4/28/2010,2/23/2010
113821,"4","052811",2,"N","N","9","01001","B","F",,,10/1/2008,9/30/2009,5/3/2010,4/28/2010,4/28/2010,2/23/2010
113858,"4","552556",2,"N","N","9","01001","B","F",,,10/1/2008,9/30/2009,5/3/2010,4/28/2010,4/28/2010,2/23/2010
113981,"4","152596",2,"N","N","9","04401","B","F",,,1/1/2009,6/30/2009,5/11/2010,5/7/2010,5/7/2010,3/24/2010
113982,"6","062549",2,"N","N","9","04101","B","F",,,10/1/2008,9/30/2009,5/11/2010,4/30/2010,4/30/2010,3/3/2010
113983,"6","672575",2,"N","N","9","04401","B","F",,,10/1/2008,9/30/2009,5/11/2010,4/30/2010,4/30/2010,3/3/2010
114592,"4","032623",2,"I","I","9","03001","B","F",,,11/21/2008,1/30/2009,5/24/2010,5/19/2010,5/21/2010,9/21/2009
114609,"4","212555",1,"N","N","0","00010","B","F",,,1/1/2009,12/31/2009,5/24/2010,5/17/2010,,5/13/2010
114725,"4","452888",2,"N","N","9","04401","B","F",,,1/1/2009,5/18/2009,5/25/2010,5/21/2010,5/21/2010,4/16/2010
114786,"4","312574",1,"N","N","9","04101","B","F",,,1/1/2009,12/31/2009,5/25/2010,5/17/2010,,5/14/2010
114808,"4","492517",1,"N","N","9","04101","B","F",,,1/1/2009,12/31/2009,5/25/2010,5/19/2010,,5/14/2010
114899,"2","322530",2,"F","F","9","04201","B","F",,,10/1/2008,9/30/2009,5/26/2010,5/7/2010,5/14/2010,3/1/2010
115015,"6","452618",3,"F","F","9","04301","B","F",,,2/1/2008,1/31/2009,5/26/2010,4/27/2010,4/30/2010,6/30/2009
115386,"4","672539",1,"N","N","9","04101","B","F",,,1/1/2009,12/31/2009,5/28/2010,5/26/2010,,5/19/2010
115614,"6","652500",1,"N","N","9","01001","B","F",,,1/1/2009,12/31/2009,5/28/2010,5/27/2010,,5/26/2010
115615,"6","652501",1,"N","N","9","01001","B","F",,,1/1/2009,12/31/2009,5/28/2010,5/27/2010,,5/26/2010
115616,"6","652503",1,"N","N","9","01001","B","F",,,1/1/2009,12/31/2009,5/28/2010,5/27/2010,,5/26/2010
116227,"4","672544",1,"N","N","9","04101","B","F",,,1/1/2009,12/31/2009,6/7/2010,5/27/2010,,5/18/2010
116971,"4","042564",1,"N","N","0","00233","B","F",,,1/1/2009,12/31/2009,6/14/2010,6/12/2010,,6/1/2010
117010,"4","102754",2,"N","N","9","04101","B","F",,,1/1/2009,7/31/2009,6/14/2010,6/11/2010,6/11/2010,3/24/2010
