"rpt_rec_num","prvdr_ctrl_type_cd","prvdr_num","rpt_stus_cd","initl_rpt_sw","last_rpt_sw","trnsmtl_num","fi_num","adr_vndr_cd","util_cd","spec_ind","npi","fy_bgn_dt","fy_end_dt","proc_dt","fi_creat_dt","npr_dt","fi_rcpt_dt"
121210,"4","142704",1,"N","N","9","00450","B","F",,,1/1/2010,4/13/2010,9/9/2010,8/23/2010,,8/11/2010
121262,"6","452618",2,"N","N","9","04101","B","F",,,2/1/2009,1/31/2010,9/14/2010,7/29/2010,9/10/2010,7/1/2010
121263,"6","452655",2,"N","N","9","04101","B","F",,,2/1/2009,1/31/2010,9/14/2010,7/30/2010,9/10/2010,7/1/2010
121567,"3","282528",2,"I","I","9","05401","B","F",,,12/17/2009,4/7/2010,10/18/2010,10/15/2010,9/22/2010,8/31/2010
121615,"4","362548",2,"N","N","9","00332","B","F",,,1/1/2009,1/31/2010,10/20/2010,10/20/2010,10/20/2010,5/21/2010
122045,"4","102544",2,"N","N","9","04301","B","F",,,1/1/2010,3/31/2010,12/2/2010,11/3/2010,11/12/2010,9/28/2010
122077,"4","452729",2,"F","F","9","04401","B","F",,,1/1/2009,1/5/2010,12/10/2010,12/13/2010,12/13/2010,9/20/2010
122248,"4","452510",2,"N","N","9","04401","B","F",,,1/1/2010,2/28/2010,12/28/2010,12/17/2010,12/17/2010,9/29/2010
122392,"1","162537",2,"N","N","9","05101","B","F",,,7/1/2009,6/30/2010,1/12/2011,1/10/2011,1/7/2011,12/2/2010
122393,"1","162540",2,"N","N","9","05101","B","F",,,7/1/2009,6/30/2010,1/12/2011,1/10/2011,1/7/2011,12/2/2010
122422,"2","162536",2,"N","N","9","05101","B","F",,,5/1/2009,6/30/2010,1/14/2011,1/14/2011,1/12/2011,11/29/2010
122484,"4","082505",2,"N","N","9","04101","B","F",,,1/1/2010,1/31/2010,1/20/2011,12/30/2010,12/30/2010,10/13/2010
122485,"4","082513",2,"N","N","9","04101","B","F",,,1/1/2010,1/31/2010,1/20/2011,12/30/2010,12/30/2010,10/13/2010
122513,"1","162509",2,"N","N","9","05101","B","F",,,7/1/2009,6/30/2010,1/28/2011,1/28/2011,1/27/2011,12/2/2010
122655,"1","162517",2,"N","N","9","05101","B","F",,,7/1/2009,6/30/2010,2/4/2011,2/3/2011,2/3/2011,12/2/2010
122733,"1","282500",2,"N","N","9","05401","B","F",,,9/1/2009,8/31/2010,2/24/2011,2/24/2011,2/24/2011,1/27/2011
122944,"1","282509",2,"N","N","9","05401","B","F",,,9/1/2009,8/31/2010,3/8/2011,3/8/2011,3/7/2011,1/27/2011
122948,"4","372564",2,"F","F","9","04301","B","F",,,7/1/2009,6/30/2010,3/9/2011,1/26/2011,2/4/2011,11/18/2010
122949,"4","452615",2,"N","N","9","04301","B","F",,,7/1/2009,6/30/2010,3/9/2011,3/9/2011,2/25/2011,11/30/2010
123131,"1","282527",2,"N","N","9","05401","B","F",,,9/1/2009,8/31/2010,3/21/2011,3/21/2011,3/18/2011,1/27/2011
123464,"4","062539",2,"N","N","9","04101","B","F",,,1/1/2010,6/1/2010,3/31/2011,3/17/2011,3/25/2011,2/17/2011
123881,"6","452563",2,"N","N","9","04101","B","F",,,10/1/2009,9/30/2010,4/21/2011,4/6/2011,4/8/2011,3/1/2011
124008,"4","172539",2,"N","N","9","05201","B","F",,,1/1/2010,3/23/2010,4/27/2011,4/27/2011,4/26/2011,8/4/2010
124009,"2","282525",2,"N","N","9","05401","B","F",,,10/1/2009,9/30/2010,4/27/2011,4/27/2011,4/26/2011,3/23/2011
124016,"6","062532",2,"N","N","9","04101","B","F",,,10/1/2009,9/30/2010,4/28/2011,4/13/2011,4/22/2011,3/1/2011
124051,"6","262620",2,"N","N","9","05301","B","F",,,1/1/2010,12/31/2010,4/29/2011,4/29/2011,4/26/2011,4/7/2011
124182,"4","272503",2,"N","N","9","03001","B","F",,,7/1/2009,6/30/2010,5/3/2011,5/3/2011,4/13/2011,12/3/2010
124979,"6","262624",2,"N","N","9","05301","B","F",,,1/1/2010,12/31/2010,5/23/2011,5/23/2011,5/20/2011,4/7/2011
125325,"5","232597",2,"N","N","9","00452","B","F",,,4/1/2009,3/31/2010,5/25/2011,5/17/2011,5/25/2011,9/1/2010
125584,"4","112653",1,"N","N","0","00010","B","F",,,1/1/2010,12/31/2010,5/26/2011,5/26/2011,,5/12/2011
126093,"4","362574",2,"N","N","9","04201","B","F",,,1/1/2010,4/30/2010,5/31/2011,5/16/2011,5/20/2011,2/21/2011
126206,"4","342543",1,"N","N","0","00010","B","F",,,1/1/2010,12/31/2010,5/31/2011,5/27/2011,,5/12/2011
126211,"6","322525",2,"N","N","9","04201","B","F",,,10/1/2009,9/30/2010,5/31/2011,5/11/2011,5/20/2011,3/9/2011
126212,"4","322530",2,"N","N","9","04201","B","F",,,10/1/2009,9/30/2010,5/31/2011,5/5/2011,5/13/2011,3/3/2011
126536,"4","262630",2,"N","N","9","05301","B","F",,,1/1/2010,12/31/2010,6/2/2011,6/2/2011,5/31/2011,5/17/2011
126648,"4","442613",1,"N","N","0","00010","B","F",,,1/1/2010,12/31/2010,6/2/2011,6/1/2011,,5/12/2011
127195,"4","442621",1,"N","N","9","00160","B","F",,,1/1/2010,12/31/2010,6/8/2011,5/26/2011,,5/17/2011
127303,"6","172508",2,"N","N","9","05201","B","F",,,1/1/2010,12/31/2010,6/9/2011,6/8/2011,6/8/2011,5/2/2011
127385,"4","392591",1,"N","N","0","12001","B","F",,,1/1/2010,12/31/2010,6/9/2011,6/8/2011,,5/23/2011
128680,"1","232531",2,"N","N","9","00452","B","F",,,7/1/2009,6/30/2010,6/15/2011,6/11/2011,6/15/2011,12/1/2010
128961,"6","172510",2,"N","N","9","05201","B","F",,,1/1/2010,12/31/2010,6/17/2011,6/17/2011,6/16/2011,5/2/2011
129247,"6","652500",1,"N","N","9","01001","B","F",,,1/1/2010,12/31/2010,6/21/2011,6/18/2011,,5/25/2011
129248,"6","652501",1,"N","N","9","01001","B","F",,,1/1/2010,12/31/2010,6/21/2011,6/18/2011,,5/25/2011
129250,"4","662501",1,"N","N","9","01001","B","F",,,1/1/2010,12/31/2010,6/21/2011,6/20/2011,,5/26/2011
129360,"6","062549",2,"N","N","9","04101","B","F",,,10/1/2009,9/30/2010,6/22/2011,5/24/2011,5/27/2011,3/1/2011
129786,"4","262633",2,"N","N","9","05301","B","F",,,1/1/2010,12/31/2010,6/24/2011,6/24/2011,6/21/2011,5/17/2011
129858,"1","192548",1,"N","N","0","00233","B","F",,,1/1/2010,12/31/2010,6/25/2011,6/24/2011,,6/1/2011
130029,"4","492505",1,"N","N","9","00160","B","F",,,1/1/2010,12/31/2010,6/28/2011,6/16/2011,,6/14/2011
130033,"4","492525",1,"N","N","9","00160","B","F",,,1/1/2010,12/31/2010,6/28/2011,6/16/2011,,6/14/2011
